segment-clé (EN)	segment-clé (FR)	Classe pharmacologique	Classe thérapeutique	DCI (spécialités)	Classe pharmaco-thérapeutique
-sartan	-sartan	antagonistes des récepteurs de l’angiotensine II	antihypertenseurs non peptidiques	Losartan (Cozaar – Hyzaar), Valsartan (Tareg) – Irbésartan (Aprovel)	Antihypertenseurs, antagonistes non peptidiques des récepteurs de l'angiotensine II (sartans)
-semide	-sémide	dérivés du furosémide	diurétiques	Furosémide (Durésan – Furilan - Lasilix)	Diurétiques hypokaliémiants, diurétiques de l'anse
-sentan	-sentan	antagonistes du récepteur de l’endothéline	vasodilatateurs de l’hypertension artérielle pulmonaire		
-sermin	-sermine	facteurs de croissance similaires à l’insuline			
-serod	-serod	antagonistes et agonistes partiels des récepteurs de la sérotonine			
-serpine	-serpine	dérivés des alcaloïdes des Rauwolfia		Réserpine	Alcaloïdes des Rauwolfias et dérivés
-sertib	-sertib	inhibiteurs de la kinase sérine/thréonine			
-setron	-sétron	antagonistes des récepteurs de la sérotonine 5HT-3	antiémétiques	Ondansétron (Zofran)	Antiémétiques, antagonistes des récepteurs de la sérotonine de type 5HT3
-sib	-sib	anti-PI3 kinase	anticancéreux		
-siban	-siban			Nolasiban	Antagonistes de l'oxytocine
-siran	-siran			Cemdisiran, Givosiran, Inclisiran	---
som-	som-	dérivés des hormones de croissance		Somatotropine (Génotropin - Umatrope)	Dérivés de l'hormone de croissance
-sopine	-sopine	composés tricycliques			
-spirone	-spirone	dérivés de la buspirone	anxiolitiques	Buspirone (Buspar)	Imides anxiolytiques
-stan/-stan-	-stan/-stan-			Stanozolol, Drostanolone	Stéroïdes androgènes et/ou anabolisants protéiniques
-stat	-stat	inhibiteurs d’enzimes	antigoutteux, antiobésité, hypolipémants		---
-steine	-stéine	destructeurs des ponts disulfures	fluidifiants bronchiques	Acétylcystéine (Exomuc – Fluimicil – Mucolator – Mucomyst), Carbocistéine (Bronchathiol – Carboxyl - Fluvic – Médibronc – Mucocil – Pneumocist – Rhinathiol)	Mucolytiques apparentés à la cystéine
-ster-	-ster-	stéroïdes androgènes et anabolisants		Testostérone (Andriol – Androtardyl – Sustanon)	Stéroïdes androgènes et/ou anabolisants protéiques 
-steride	-stéride	stéroïdes androgènes et anabolisants		Finastéride (Chibro-Proscar)	Inhibiteurs de la 5-alpha-testostérone réductase, utilisés dans l'adénome prostatique
-sterone	-stérone	stéroïdes cétoniques progestatifs		Fluoxymestérone, Prastérone	Stéroïdes cétoniques androgènes et/ou anabolisants protéiniques
-sterone	-stérone	stéroïdes cétoniques progestatifs		Dydrogestérone (Duphastan), Noréthistérone (Gynovlar – Kliogest – Milligynon – Noristérat – Norluten – Primolut-Nor – Triella – Trisequens), Progestérone (Di-Pro Oleosum – Progestogel – Tocogestan – Utrogestan)	Stéroïdes cétoniques progestatifs
-sterone	-stérone	stéroïdes cétoniques progestatifs		Aldostérone	Divers stéroïdes cétoniques hormonaux
-stigmine	-stigmine	inhibiteurs de l’acétylcholinestérase		Néostigmine (Prostigmine), Pyridostigmine (Mestinon)	Anticholinéstérasiques
-stim	-stime	facteurs de croissance hématopoïétiques	immunostimulants		
-grastim	-grastime	facteurs de stimulation des colonies granulocytaires		Filgrastime (Neupogen), Lénograstime (Granocyte)	Facteurs de croissance stimulant la lignée granulocytaire (Granulocytes-Colony Stimulating Factor)
-gramostim	-gramostime	facteurs de stimulation des colonies macrophages granulocytaires		Molgramostime	Facteurs de croissance stimulant à la fois la lignée granulocytaire et la lignée macrophagique (Granulocytes Macrophages-Colony Stimulating Factor)
